PRICES EFFECTIVE FROM 03-26-2020 THRU 04-01-2020																															PRICES EFFECTIVE FROM 03-26-2020 THRU 04-01-2020														ATTN
											0.25						A	MIL	SUPREME		A																								ETA GUAM 04/29/25			#3	#4	#1	#1	#2	#3	#1	#1	#2	#3	#1	#1	#2	#3	#1	#1	#2	#3							#2					#3	Column 1	Column 2	Column 3		#1					#2					#3					#4					#5
				GRS	NET	INV	-47512.8			SUPREME		CUBE/		REG/	MISC		0.68	0.65	GROUP	A	ACTUAL	A	A	B	C	TTL	TTL	TTL	TTL				EST						EST					FRT#	#VALUE!			INTFRSH	INTFRSH	GEN	INTFRSH	INTFRSH	INTFRSH	GEN	INTFRSH	INTFRSH	INTFRSH	GEN	INTFRSH	INTFRSH	INTFRSH	GEN	INTFRSH	INTFRSH	INTFRSH		GEN	FOB		GRS		GEN	FOB		GRS		GEN	FOB		GRS		INTFRSH	FOB		GRS		INTFRSH	FOB		GRS		INTFRSH	FOB		GRS		INTFRSH	FOB		GRS		INTFRSH	FOB		GRS	GRS	NET	CUBE
	ITEM DESCRIPTION	-47512.8		WT/CS	WT/CS		QTY	A	LSG	GROUP	AIR	CASE	FOB	FRT./CS	FRT	CIF	M/U	M/U	M/U	GP%	IND	GP	TL/S.P.	TL/S.P.	TL/S.P.	GR/WT	GR/CU	FOB	CIF		QTY	ITEM	WT				QTY	ITEM	WT		PRICE					SIZE	ORIGIN OF ITEM	3/25/2025	3/25/2025	4/1/2025	4/1/2025	4/1/2025	4/1/2025	4/8/2025	4/8/2025	4/8/2025	4/8/2025	4/15/2025	4/15/2025	4/15/2025	4/15/2025	4/22/2025	4/22/2025	4/22/2025	4/22/2025	TTL	4/29		EXT	WT		4/29		EXT	WT		4/29		EXT	WT		4/29		EXT	WT		4/29		EXT	WT		4/29		EXT	WT		4/29		EXT	WT		4/29		EXT	WT	WT/CS	WT/CS	/CS

	FRUITS																															FRUITS						VEGETABLES					IND	TTL	FRUITS																							GEN										GEN					INTFRSH					INTFRSH					INTFRSH					INTFRSH					INTFRSH
	APPLE, FUJI 56 CT 	XFCY CA		42	40							1.65	30.5						6													APPLE, FUJI 56 CT 	40										36	36	APPLE, FUJI 56 CT 	XFCY CA	Wash								14								21			21		$30.50					30.5					30.5					$23.90					23.9					23.9					23.9					23.9			42	40	1.65
	APPLE, FUJI 88 CT 	XFCY CA		42	40							1.65	33						6													APPLE, FUJI 88 CT 	40										77.5	77.5	APPLE, FUJI 88 CT 	XFCY CA	Wash								14										49	49		$33.00					33			**		33					$24.90					24.9					24.9					24.9					24.9			42	40	1.65
	APPLE, FUJI 88 CT	U.S. #1		42	40							1.65							6													APPLE, FUJI 88 CT	40												APPLE, FUJI 88 CT	U.S. #1	WXF																													**							$21.90					21.9					21.9					21.9					21.9			42	40	1.65
	APPLE, FUJI 138 CT 	U.S. #1		42	40							1.65	28						6													APPLE, FUJI 138 CT 	40												APPLE, FUJI 138 CT 	U.S. #1	Wash																					$28.00					28			**		28					$25.90					25.9					25.9					25.9					25.9			42	40	1.65
	APPLE, FUJI 12/3#	XFCY CA		38	36							2.12	23						6													APPLE, FUJI 12/3#	36										11	11	APPLE, FUJI 12/3#	XFCY CA	Wash								12													$35.00					35			**		35					$22.90					22.9					22.9					22.9					22.9			38	36	2.12
	APPLE, GALA 88 CT	XFCY CA		42	40							1.65	40						6													APPLE, GALA 88 CT	40										7	7	APPLE, GALA 88 CT	XFCY CA	Wash								7													$40.00					40			**		40					$27.90					27.9					27.9					27.9					27.9			42	40	1.65
	APPLE, GALA 113 CT	XFCY CA		42	40							1.65							6													APPLE, GALA 113 CT	40												APPLE, GALA 113 CT	XFCY CA	Wash																													**							$25.90					25.9					25.9					25.9					25.9			42	40	1.65
	APPLE, GALA 138 CT 	XFCY CA		42	40							1.65	19.94						6													APPLE, GALA 138 CT 	40										266	266	APPLE, GALA 138 CT 	XFCY CA	Wash	196		98											98		21		98	217		$27.00					27			**		27					$23.90					23.9					23.9					23.9					23.9			42	40	1.65
	APPLE, GALA 12/3#	XFCY CA		38	36							2.12	18.5						6													APPLE, GALA 12/3#	36										4	4	APPLE, GALA 12/3#	XFCY CA	Wash																					$36.00					36			**		36					$22.90					22.9					22.9					22.9					22.9			38	36	2.12
	APPLE, GLDN DEL 88 CT	XFCY CA		42	40							1.65	53						6													APPLE, GLDN DEL 88 CT	40												APPLE, GLDN DEL 88 CT	XFCY CA	Wash																					$53.00					53			**		53					$36.90					36.9					36.9					36.9					36.9			42	40	1.65
	BANANA, DOLE			44	40							2							6													BANANA, DOLE	40										596	596	BANANA, DOLE		-																													**																														44	40	2
	GARLIC, SUPER COLOSSAL			32	30							1.1	92						4													GARLIC, SUPER COLOSSAL	30										3	3	GARLIC, SUPER COLOSSAL		-				3																	$92.00					92			**		92					$78.50					78.5					78.5					78.5					78.5			32	30	1.1
	GARLIC, JUMBO CELLO 60/5 PK (CHINESE)			32	30							1.44	83						4													GARLIC, JUMBO CELLO 60/5 PK (CHINESE)	30										14	14	GARLIC, JUMBO CELLO 60/5 PK (CHINESE)		-				10				10													$83.00					83			**		83					$78.50					78.5					78.5					78.5					78.5			32	30	1.44
	GARLIC PEELED, 4/5# BAG (GILROY)			22	20							0.84	65						4													GARLIC PEELED, 4/5# BAG (GILROY)	20										14.25	14.25	GARLIC PEELED, 4/5# BAG (GILROY)		ca. - s			15				15				15				15				30		$65.00					65			**		65																												22	20	0.84
	ONION, GRN ICELESS 4 / 1doz 48 CT			12	10							0.72	25						4													ONION, GRN ICELESS 4 / 1doz 48 CT	10										149	149	ONION, GRN ICELESS 4 / 1doz 48 CT		mex				132			50	132			50	120			50	132			352		$25.00					25			**		25					$18.00					18					18					18					18			12	10	0.72
